Ticker,Mean Return,Volatility,Sharpe Ratio,Max Drawdown,30 Day Return,90 Day Return,Correlation with SPY,Cluster
AACG,1.2778484949291122,3.216686222225846,0.3972561843613336,-0.9650349655013324,-0.1584158100318513,0.4166666501098215,0.0412410811568461,Cluster 1
AAOI,0.4833446019899136,0.8607495205073145,0.5615392056274823,-0.9849412710490024,0.3753731962566431,3.081949246993312,0.2909013124589544,Cluster 5
AAXJ,0.0568389241704801,0.2008897453290377,0.2829359163026642,-0.445168989079293,-0.0028761386439156,0.0106097707730616,0.7275928110282033,Cluster 2
ACB,0.1676167199317274,1.0155650759635189,0.1650477393314267,-0.9979380706654934,0.0119048078584582,-0.3111831527637853,0.2380184167287574,Cluster 1
ACIW,0.1565374677967559,0.3450105627328798,0.4537178994080627,-0.5417633248442298,-0.0438386632525279,0.0796588575394696,0.5928633501424849,Cluster 2
ADAM,0.0800696536152327,0.4816394534741541,0.1662439674276588,-0.8401253614180318,0.0525808160609182,-0.0043705775200383,0.3625810564632748,Cluster 1
ADMA,0.2719544763827211,0.6829710932675318,0.3981932457516057,-0.902852049248012,-0.0992647692288581,-0.02000002179827,0.2246403511827613,Cluster 1
ADTN,0.0300432463246981,0.4557700183086542,0.065917557359713,-0.8199207704604948,0.0748386998330392,0.5746691840784341,0.3907559809293253,Cluster 1
AEIS,0.2430393800307317,0.4104120488081376,0.5921838326543611,-0.622811772721992,0.0573820530914268,0.0767344258023816,0.653196193041757,Cluster 2
AGIO,0.052077174025642,0.5891720758475936,0.0883904315232911,-0.8736389885188934,-0.3889921651876025,-0.2809627995236387,0.3859997227601998,Cluster 4
AKBA,0.2234529765551905,0.8479730479180122,0.263514243882897,-0.98729028983069,0.0614525232677891,0.292516965427847,0.3064538884140956,Cluster 1
AMCX,-0.0564531745950022,0.5096347048930059,-0.1107718411893754,-0.9139909543871494,0.0702702290302996,-0.0462428218322327,0.347087036976035,Cluster 1
AMKR,0.263726121481693,0.5099451455319578,0.5171656673122808,-0.6126004616683979,0.0386353830005756,-0.1845086752007094,0.5586825541344881,Cluster 4
AMSC,0.4056092573846175,0.7781722825466891,0.5212332364977053,-0.8905522282001185,-0.1811835364615246,0.2327327189723151,0.3271124337092971,Cluster 4
ANIP,0.1269410446169706,0.5142556116469205,0.2468442574898459,-0.7295936255108226,-0.022976369913164,-0.0865829748650406,0.3791936507216041,Cluster 4
ANIX,0.4666575604075969,1.015295822075145,0.4596271847684785,-0.911111107578984,-0.2467532497691674,-0.2634921069828788,0.1546112871320685,Cluster 1
ARDX,0.2555636110182394,0.8633644884270808,0.2960089445928422,-0.98141399487838,0.0201208019499474,-0.161983469120263,0.2511956375951122,Cluster 1
ATYR,-0.0953955304303432,0.821109228089392,-0.1161788555857733,-0.9971561795617024,0.2461273394874599,0.9358288108707652,0.2080159230942267,Cluster 1
AXGN,0.3354628109963775,0.6076066830194635,0.552105202874524,-0.9354203971993708,0.3037973967257132,0.3344128771820414,0.3510832821514979,Cluster 1
AXSM,0.6450531777921766,0.976209556506182,0.6607732668596261,-0.8664886474554976,-0.0918750426835032,-0.028699345453832,0.1862063714318533,Cluster 4
AZTA,0.2621200071546715,0.4749095064841395,0.5519367449500098,-0.7061437178689084,0.2045290778550244,0.0460251212981974,0.5437634909739422,Cluster 4
BATRK,0.1373489241879482,0.3109600860353896,0.4416930993912732,-0.5494983130808846,-0.0451709854523609,-0.1161931736571059,0.457249165435528,Cluster 4
BIIB,0.0046459288379765,0.4217567260776216,0.0110156603338235,-0.6922769909660973,-0.0441903061533479,-0.2478851433194394,0.3754130624686465,Cluster 4
BLDP,0.2285349559044126,0.7030121933711257,0.3250796473508208,-0.9690168351080192,0.296875002910383,-0.0978261214629907,0.3783723512816362,Cluster 1
BLMN,0.0624645344938418,0.465300594080864,0.1342455507009007,-0.7980821617411585,-0.0578571043070775,-0.3094787464068927,0.4993369219149263,Cluster 4
BUSE,0.1028825892560468,0.3119203859155316,0.3298360540112551,-0.5493319444334979,-0.1095578712202999,-0.0833337969318034,0.5621140816134121,Cluster 4
CAAS,0.2250733978343243,0.8309430650767212,0.2708650054303579,-0.8279329522146545,-0.0531177882508203,0.0933333079020182,0.1019136016006282,Cluster 1
CASH,0.2746971846506325,0.4118548755082868,0.6669756775651072,-0.6490066590956121,-0.0754168692887503,0.1451521137438318,0.4782190415090298,Cluster 4
CASY,0.194440123456646,0.2724615049285762,0.7136425511105398,-0.3340882500681036,-0.0128799394478732,0.0720496016813048,0.4495532704755659,Cluster 2
CBSH,0.1176631188640736,0.2634347926498144,0.4466498812876397,-0.4116087421929693,-0.0824681689591989,0.0585721657081317,0.6237050889225855,Cluster 2
CCOI,0.1751125859290663,0.311563926011446,0.562043841759245,-0.3933512019378072,-0.0176803174197489,0.0777420402418307,0.4340165344634742,Cluster 2
CCRN,0.1999092828426684,0.5779396627634318,0.3458999195293114,-0.7425196637138968,0.8511721784535524,0.2532781321093658,0.3150816238620851,Cluster 1
CDXS,0.2802698266210525,0.6730413157593925,0.4164229149956776,-0.9640976533311127,0.2293814021224169,0.6448275255391507,0.3713574626926547,Cluster 1
CDZI,0.1027006430303613,0.5947699121024422,0.1726728957544717,-0.9015673936535036,0.5662650342845206,0.6720257185426415,0.2036694233465482,Cluster 1
CECO,0.2002129791616676,0.4987192290465114,0.4014543003373857,-0.7413276968524396,0.111397010820136,0.1000727818708036,0.3983347536469208,Cluster 4
CELH,0.775326136067461,0.7382964019636451,1.0501556475222256,-0.7330142577831966,0.0265004017622534,-0.330282254607219,0.2947976859743523,Cluster 4
CENT,0.238425191043076,0.3657828868289149,0.6518216122959108,-0.4971072592060089,0.0509209415318057,0.0041407828659276,0.3626132123618274,Cluster 4
CENX,0.2474442966902118,0.7433464285782092,0.3328788397672077,-0.8957169492538006,-0.1945181857927829,0.2940340491535123,0.4236434364176656,Cluster 4
CEVA,0.1637015223974488,0.4657313008592457,0.3514934944149761,-0.782350573095076,0.1680858559684157,0.3200836711561716,0.529068798202054,Cluster 4
CHEF,0.2644245896158061,0.6009981770046965,0.4399756933268364,-0.9126213631561176,0.2032202409187362,0.2360901706441178,0.4403767433207853,Cluster 1
CHY,0.1116240881435602,0.2332895332734733,0.4784787666093406,-0.5040727271911076,0.0326643870120468,0.101125749293301,0.635213799862248,Cluster 2
CIBR,0.1535588139838308,0.2305733172717284,0.6659869225148165,-0.3388778973909332,0.0341754400666123,0.0861742471511608,0.7962667321030894,Cluster 2
CLDX,0.0999998927346391,0.8163991761313414,0.1224889682134505,-0.9967484793106254,0.073036147618908,-0.2837301209717531,0.2263166229138814,Cluster 1
CLNE,0.1863617010507999,0.7290893482774855,0.2556088653483828,-0.8948393383859191,-0.0528302263644874,-0.1824104087807001,0.4140745042222482,Cluster 4
CME,0.1666476702743258,0.2403918736846816,0.6932333764864074,-0.3735608750016024,0.0615659707972238,0.1468532029359537,0.5278963358746669,Cluster 2
CMPR,0.1352160912180435,0.5310897989379507,0.2546011832432905,-0.8873510844619924,-0.0733850154160095,-0.207951421274846,0.4900089009211676,Cluster 4
CNOB,0.1083340047565915,0.3696253669094252,0.2930913688700868,-0.6852082676867722,-0.1543004014606341,-0.021201003777676,0.5150970786851906,Cluster 4
CNVS,0.1445203914180385,1.2076877275157478,0.1196670199798432,-0.9978488371815792,0.1406250128056854,3.345238344435528,0.1441086198737756,Cluster 5
CPRX,0.4328022105413903,0.6719824126606994,0.6440677648507491,-0.9024390200846476,0.0131068180953308,0.006268132572319,0.3343084266675192,Cluster 4
CROX,0.368827703626591,0.5524452826689854,0.6676275736208711,-0.751843316149617,0.120167724961026,-0.2289877469966844,0.4705694811005525,Cluster 4
CRSP,0.3317055441680144,0.6462468182940841,0.513279964833911,-0.816130260110637,-0.1669841140666336,-0.171368408203125,0.3892731401544247,Cluster 4
CSQ,0.1543362327550038,0.2269337391665797,0.6800938164673433,-0.48206580399661,0.0154553706289466,0.0851727060251248,0.838938674334248,Cluster 2
CSTE,-0.1412324133615768,0.4772677844188594,-0.2959185974254413,-0.946264009476827,0.0416666861453092,-0.076086937367127,0.3298386026730511,Cluster 1
CTAS,0.2686685378781896,0.2621607050186078,1.024823830326211,-0.4837968883721122,-0.1510222745679892,-0.0669409438829951,0.7168666016951147,Cluster 2
CTLP,0.3691157143300669,0.6030238854189061,0.612107950041898,-0.8267477341974723,0.0905963231262843,0.3964758162685495,0.3090030032367437,Cluster 1
CVGW,0.0324984995627088,0.3913306672663285,0.0830461353558863,-0.7890221872114294,-0.0562546772680452,0.0894573467019079,0.2556237367516469,Cluster 1
CWST,0.3747053696949509,0.3144626322193242,1.191573596679716,-0.3496008859067074,-0.0069451475548486,0.0053206418868765,0.4680465749189941,Cluster 2
DCOM,0.1142321873133691,0.3598975377692341,0.3174019695200434,-0.5738993015751588,-0.0878337889833821,0.3356510747532852,0.5251756896275305,Cluster 4
DGII,0.213184871741797,0.4344173047068549,0.4907375222671074,-0.6573875807917335,-0.03756766351188,0.0621925690338254,0.463773109473596,Cluster 4
DHC,0.0088556940730039,0.6148737791317472,0.0144024584777528,-0.9631096208315204,-0.0873017193083693,-0.2813755010199809,0.4028666255022771,Cluster 1
DLPN,0.6050226387513038,1.613942219618664,0.3748725520633918,-0.9942563481067984,-0.0272727006723079,-0.1769230063850332,0.0620711240169237,Cluster 1
DRS,0.3968338874214646,0.6644086917719713,0.5972737749157264,-0.90344828418115,-0.0418149578221604,0.1514612388200642,0.2335508575660104,Cluster 1
EBAY,0.15113250128536,0.2979454548173835,0.5072488901634429,-0.5357987024538926,0.0127166853070144,0.0589487288049466,0.527631307839986,Cluster 4
EQIX,0.202358895783993,0.267974244742096,0.7551430771966441,-0.4176800156843188,0.0507261538724139,0.156797436517321,0.5571793693034214,Cluster 2
ESGD,0.0757725460887847,0.1700710406964399,0.4455346764416599,-0.3369723765026541,-0.0052611529075135,-0.0548761432857524,0.847662133774669,Cluster 2
EWZS,0.063113000930414,0.3709900402468062,0.1701204724752912,-0.6314616387379716,-0.1712960383153212,-0.2541012816585049,0.5078517255391187,Cluster 4
EXEL,0.4260643596110281,0.5071458699957919,0.840121915248099,-0.571966137353986,-0.03338175618028,0.2916989274678541,0.3414445351832095,Cluster 4
FBNC,0.1679571709448807,0.3448765667735309,0.4870066195456318,-0.541300685708739,-0.0341038829807913,0.0827785802618674,0.5004970603813728,Cluster 4
FFIC,0.0737330974754522,0.3609129202768604,0.2042960873190427,-0.6708903991442824,-0.1764288500036648,0.0924763701231419,0.4680684572242575,Cluster 4
FFIV,0.1072745947879926,0.2873989287494058,0.3732602458011576,-0.5459331868259002,0.0550008414867499,0.2847800884375207,0.5912486298907508,Cluster 4
FISV,0.2082459275779704,0.2513932238155793,0.82836730607639,-0.3784809074231565,-0.0260762376623696,0.2170152635809239,0.713818522688746,Cluster 2
FIZZ,0.2438841269854744,0.4109334483887069,0.5934881376577102,-0.6959433485853731,-0.1149139394468823,-0.0553464711388623,0.2622593444698685,Cluster 4
FLWS,0.1410239170046179,0.5251280061635889,0.2685515062030149,-0.8446141715647233,0.0474358816040263,-0.0932297592951489,0.3757664335784315,Cluster 1
FTNT,0.3541339560840889,0.399515002137507,0.8864096571827892,-0.5119803507541162,0.0029724672798581,0.2683582503213737,0.5381309360959147,Cluster 2
FTSM,0.0198857075804425,0.0120673990469243,1.647886798399275,-0.0412027942653583,0.0059133715870485,0.016964221619879,0.2055823924502745,Cluster 2
FV,0.1265127875856895,0.2118718533555895,0.5971193699493446,-0.3404005928684548,0.0018191659839688,0.0517307840883964,0.8902952365280932,Cluster 2
FWRD,0.0406385859090282,0.3832538847299945,0.1060356790320818,-0.8995700663715043,-0.0657589926900809,0.0310102075467222,0.462771699552452,Cluster 1
GALT,0.2960063268111164,0.8914735534110724,0.3320416244301341,-0.9082969445669508,-0.5342960394456227,-0.44155844423926,0.2186537002457652,Cluster 4
GDC,1.423670794256433,4.054558539225755,0.3511284349413519,-0.997817543933266,-0.3249999936137879,-0.7561290341038858,0.0273363162957469,Cluster 1
GDEN,0.3213576089576923,0.5329951977765035,0.6029277755189918,-0.8898601508988256,-0.040182899792814,0.0533177909917716,0.5219661403313358,Cluster 4
GDS,0.3609800513816545,0.7233177664583452,0.4990615025940232,-0.9562699854566108,0.0819672686453758,0.4576687939260655,0.3458995492479208,Cluster 1
GGAL,0.3438012214156636,0.5811835726851424,0.5915535771722832,-0.9169990315225316,0.1071237631516153,0.8816425460249475,0.3651183835801618,Cluster 1
GILD,0.0639626319732113,0.2568376823455406,0.2490391261480011,-0.4573977943066016,0.0536921917946136,0.2386944282912018,0.4253817711481892,Cluster 4
GILT,0.1370005377784059,0.4278601297744804,0.3201993554543564,-0.8089201728899664,0.2226639838652722,0.3697105587682181,0.3498483539159923,Cluster 1
GLNG,0.2160422726115717,0.6036298558568599,0.3579052137918146,-0.9009295751640332,0.2531915553422879,0.3276243235852876,0.4102077961048067,Cluster 1
GLPG,0.1316764907248754,0.4277730806279545,0.3078185530786074,-0.9116884980814454,0.0261194321965299,0.1048614172098789,0.3462043739004903,Cluster 1
GMAB,0.1888296057317096,0.3585267126718011,0.5266821105867392,-0.5890804606700977,0.0135988676333407,-0.2276091604122527,0.3907976648438945,Cluster 4
GOGO,0.1483547975302321,0.6674271532393471,0.222278636417764,-0.9395509505448212,0.0729443227476749,0.099184783400936,0.2841209118293247,Cluster 1
GREE,0.0704694521718703,1.1884596237985667,0.0592947802018171,-0.9991183017858756,-0.4194756898779797,-0.2364532146987522,0.1563879093834247,Cluster 1
HAS,0.0873924822021258,0.3276899657416953,0.2666925793846668,-0.63842903223319,-0.0909669134355452,-0.1536821619420146,0.5081290433194905,Cluster 4
HCSG,-0.0061381324554663,0.369929158432334,-0.016592724081222,-0.8103335025042514,0.0069324024237873,0.1014217701876352,0.4309677535916297,Cluster 1
HIMX,0.2148796254313031,0.6029561886794677,0.3563768470507125,-0.8671998253731033,0.5521235380666738,0.3696763577208608,0.3448249706058199,Cluster 1
HNRG,0.2410321951666533,0.6742379924526022,0.3574883021496263,-0.9440291887848726,-0.1089494576376398,0.8770491784056551,0.2465231383796606,Cluster 1
HOLX,0.1366116411986225,0.2662861128911712,0.5130257816127817,-0.4623971026450199,-0.0828244562673099,-0.0998876309876317,0.5331155299858233,Cluster 2
HRTX,0.1188345584586294,0.7935746581928809,0.1497459088842859,-0.9871428566319604,0.2857141998492554,-0.1818181992040771,0.3144927719685946,Cluster 1
HTHT,0.3024376461241426,0.5035084091270075,0.6006605662227466,-0.6401808479395998,-0.0776320362523601,0.1342719323724501,0.3443196646976447,Cluster 4
HTO,0.108184660215328,0.2976570931063157,0.3634539969678707,-0.3832247498533235,-0.1018247617764477,-0.1417462820876452,0.4394560549368161,Cluster 2
HWC,0.1651908953447564,0.395976873019228,0.4171730891383018,-0.7093215423491286,-0.0574853615295088,0.1007918380093408,0.6033425333067846,Cluster 4
HYFT,87.55913930376484,276.65953236758656,0.3164869778910364,-0.9841269843616336,-0.0741572874180219,-0.5065868130966042,0.0130356117126076,Cluster 3
HYLS,0.0405550726011094,0.0685843178261692,0.5913169932505354,-0.229924947400303,0.0019444059524968,0.0195347385078592,0.6041964068777312,Cluster 2
IART,0.0497181408305801,0.3330822943901495,0.1492668378594261,-0.7788072377598392,-0.0087412090440006,0.1134020309657148,0.4676870794743674,Cluster 4
IBIO,0.1869076627882722,1.5487936531734587,0.1206795123451731,-0.999814159300475,0.0745614379066514,0.2189055021433354,0.0510003762305253,Cluster 1
IEI,0.0117997826358108,0.0392492829026537,0.3006368973689719,-0.1460036968876553,0.002740914288323,-0.012642315531724,-0.1341075365672394,Cluster 4
IFV,0.0481378645999187,0.2069464164981501,0.2326102834467252,-0.4888867227706039,-0.0106132700364812,-0.0498002895345458,0.7427443994772577,Cluster 2
IGSB,0.0223418545091434,0.0338694318493827,0.6596465688735977,-0.1337615816295742,0.0049124480549123,0.0085420865046224,0.2630637473921177,Cluster 2
III,0.0970867598383942,0.4522192852838185,0.2146895610112279,-0.6971962959811696,0.0089631928565794,0.0387673792006426,0.4151649689947181,Cluster 4
IMUX,0.165247339569205,1.1993678707272737,0.1377786945960143,-0.999175178803536,-0.0566037226588981,-0.3421052549024036,0.1840701356766448,Cluster 1
INOD,0.544725014078302,0.782116528312176,0.6964755178538805,-0.7444146557333597,0.0753741621160182,1.2152466434834004,0.1884553794520002,Cluster 1
INTU,0.2510345856964778,0.3138713988050287,0.7998007676144331,-0.4901005400100851,-0.0863099325289222,-0.0537160443032032,0.7477299782581613,Cluster 2
INTZ,0.6548936855536827,1.7586883525618235,0.3723761999104165,-0.9993628318330884,3.5970146969926797,1.351145082625691,0.0224434898612207,Cluster 5
IRDM,0.204946028019599,0.4288433014602607,0.4779042305703138,-0.6288658356222522,0.029852018390287,0.1086043866799437,0.4805264538043939,Cluster 4
ITRI,0.1846406828288271,0.4212955089157516,0.43826881350817,-0.6526473130782448,-0.0550043482236227,0.0837408841721021,0.5322455034488699,Cluster 4
JOYY,0.132391081933964,0.5811788346618155,0.2277974937112112,-0.8351571501729347,0.1415712033713441,0.2236840842500862,0.3300288715254364,Cluster 1
KBWB,0.1212139693159161,0.2902239601984475,0.4176566580961587,-0.5026956980282,-0.0512420458815928,0.1593130149205195,0.7440325470825675,Cluster 2
KDP,0.1501620617569533,0.2277202597591439,0.6594145901457226,-0.3687253474296025,0.0145292233470046,-0.0939708197365462,0.3864530483941291,Cluster 2
KNDI,0.0505070298953029,0.8239861921930103,0.061295966332737,-0.9397186900360516,-0.0399999618530273,-0.3142856870378766,0.2286621021087728,Cluster 1
KOPN,0.2272603242515676,0.8117908097348093,0.2799493681454802,-0.9557522120003872,0.6385542670499269,0.3465346803432378,0.3340558035604617,Cluster 1
LECO,0.1540314945908432,0.2661221738906206,0.5787999261352496,-0.3888549031936833,-0.0867545131925953,-0.0332456889919572,0.6642628384713511,Cluster 2
LFUS,0.1537628189238169,0.3281234130196063,0.468612762218919,-0.5417530274016341,-0.0196802833774314,-0.1222412845296747,0.6465583328965678,Cluster 2
LGIH,0.3060701622650945,0.4980143471814264,0.6145810135738786,-0.6380381158150257,-0.1420345091729196,-0.1613508179591369,0.4980880385367927,Cluster 2
LIND,0.1978473385252007,0.6000444578148993,0.329721133073497,-0.8315789448587521,-0.0960366036488074,0.335585529710767,0.4426208963033941,Cluster 4
